occurrenceID	basisOfRecord	scientificName	scientificNameAuthorship	taxonRank	kingdom	family	genus	specificEpithet	infraspecificEpithet	taxonRemarks	eventDate	year	month	day	recordedBy	identifiedBy	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	country	countryCode	stateProvince	county	locality	elevation	elevationUnit	habitat	associatedTaxa	occurrenceRemarks	catalogNumber	institutionCode	collectionCode	license	rightsHolder	datasetName	references
ORCHID_1	HumanObservation	Unknown Orchid		species	Plantae	Orchidaceae					2025-08-21	2025	8	21												meters			"AI description: Error during AI analysis: Error code: 401 - {'error': {'message': 'Incorrect API key provided: export O*****************************ere"". You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"	1	FCOS	upload	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_62	HumanObservation	Angcm sesquipedale		species	Plantae	Orchidaceae	Angcm	sesquipedale			2025-08-23	2025	8	23												meters			AI description: AI identified as Angcm sesquipedale with 75% confidence. Features terrestrial growth habit with medium flowers.	62	FCOS	google_sheets_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_63	HumanObservation	Lc		species	Plantae	Orchidaceae	Lc				2025-08-23	2025	8	23												meters			AI description: AI identified as Lc hybrid with 71% confidence. Features terrestrial growth habit with medium flowers.	63	FCOS	google_sheets_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_2	HumanObservation	Unknown Orchid		species	Plantae	Orchidaceae					2025-08-21	2025	8	21												meters			"AI description: Error during AI analysis: Error code: 401 - {'error': {'message': 'Incorrect API key provided: export O*****************************ere"". You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"	2	FCOS	upload	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_3	HumanObservation	Unknown Orchid		species	Plantae	Orchidaceae					2025-08-21	2025	8	21												meters			"AI description: Error during AI analysis: Error code: 401 - {'error': {'message': 'Incorrect API key provided: export O*****************************ere"". You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"	3	FCOS	upload	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_4	HumanObservation	Unknown Orchid		species	Plantae	Orchidaceae					2025-08-22	2025	8	22												meters			"AI description: Error during AI analysis: Error code: 401 - {'error': {'message': 'Incorrect API key provided: export O*****************************ere"". You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"	4	FCOS	upload	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_5	HumanObservation	Cattleya trianae	Lindl.	species	Plantae	Orchidaceae	Cattleya	trianae			2025-08-22	2025	8	22						Brazil	BR	Native to Brazil				meters	Epiphytic in tropical rainforests		"{""light"": ""Bright light (3000-4000 fc)"", ""temperature"": ""Intermediate to warm"", ""humidity"": ""50-70%""}; AI description: Large, showy flowers with prominent lip, typically 4-6 inches across. trianae variety shows distinctive coloration and form.; Genus native to: Brazil, Ecuador, Colombia"	5	FCOS	drive_import_analysis	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_8	HumanObservation	Oncidium sphacelatum	Sw.	species	Plantae	Orchidaceae	Oncidium	sphacelatum			2025-08-22	2025	8	22						Ecuador	EC	Native to Ecuador				meters	Epiphytic in cloud forests and montane regions		"{""light"": ""Bright light (2500-3500 fc)"", ""temperature"": ""Intermediate"", ""humidity"": ""50-70%""}; AI description: Small dancing lady flowers in large sprays, distinctive yellow and brown coloration typical of sphacelatum.; Genus native to: Ecuador, Brazil, Colombia"	8	FCOS	drive_import_analysis	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_10	HumanObservation	Cymbidium hybrid	Sw.	species	Plantae	Orchidaceae	Cymbidium	hybrid			2025-08-22	2025	8	22						China	CN	Native to China				meters	Terrestrial or epiphytic in montane regions		"{""light"": ""Bright light (3000-4000 fc)"", ""temperature"": ""Cool to intermediate"", ""humidity"": ""50-70%""}; AI description: Large pseudobulbs, strap-like leaves, waxy flowers on tall spikes. hybrid shows standard cymbidium traits.; Genus native to: China, India, Myanmar"	10	FCOS	drive_import_analysis	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_11	HumanObservation	Paphiopedilum malipoense	Pfitzer	species	Plantae	Orchidaceae	Paphiopedilum	malipoense			2025-08-22	2025	8	22						Indonesia	ID	Native to Indonesia				meters	Terrestrial in forest floor litter		"{""light"": ""Low to medium light (800-1500 fc)"", ""temperature"": ""Cool to intermediate"", ""humidity"": ""60-80%""}; AI description: Distinctive pouch-like lip, single flower per stem, mottled foliage. malipoense exhibits classic slipper orchid form.; Genus native to: Indonesia, Malaysia, Thailand"	11	FCOS	drive_import_analysis	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_16	HumanObservation	Oncidium sphacelatum	Sw.	species	Plantae	Orchidaceae	Oncidium	sphacelatum			2025-08-23	2025	8	23						Ecuador	EC	Native to Ecuador				meters	Epiphytic in cloud forests and montane regions		"{""light"": ""Bright light (2500-3500 fc)"", ""temperature"": ""Intermediate"", ""humidity"": ""50-70%""}; AI description: Small dancing lady flowers in large sprays, distinctive yellow and brown coloration typical of sphacelatum.; Genus native to: Ecuador, Brazil, Colombia"	16	FCOS	drive_import_analysis	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_18	HumanObservation	Cymbidium hybrid	Sw.	species	Plantae	Orchidaceae	Cymbidium	hybrid			2025-08-23	2025	8	23						China	CN	Native to China				meters	Terrestrial or epiphytic in montane regions		"{""light"": ""Bright light (3000-4000 fc)"", ""temperature"": ""Cool to intermediate"", ""humidity"": ""50-70%""}; AI description: Large pseudobulbs, strap-like leaves, waxy flowers on tall spikes. hybrid shows standard cymbidium traits.; Genus native to: China, India, Myanmar"	18	FCOS	drive_import_analysis	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_19	HumanObservation	Paphiopedilum malipoense	Pfitzer	species	Plantae	Orchidaceae	Paphiopedilum	malipoense			2025-08-23	2025	8	23						Indonesia	ID	Native to Indonesia				meters	Terrestrial in forest floor litter		"{""light"": ""Low to medium light (800-1500 fc)"", ""temperature"": ""Cool to intermediate"", ""humidity"": ""60-80%""}; AI description: Distinctive pouch-like lip, single flower per stem, mottled foliage. malipoense exhibits classic slipper orchid form.; Genus native to: Indonesia, Malaysia, Thailand"	19	FCOS	drive_import_analysis	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_21	HumanObservation	Cattleya trianae	Lindl.	species	Plantae	Orchidaceae	Cattleya	trianae			2025-08-23	2025	8	23						Brazil	BR	Native to Brazil				meters	Epiphytic in tropical rainforests		"{""light"": ""Bright light (3000-4000 fc)"", ""temperature"": ""Intermediate to warm"", ""humidity"": ""50-70%""}; AI description: Large, showy flowers with prominent lip, typically 4-6 inches across. trianae variety shows distinctive coloration and form.; Genus native to: Brazil, Ecuador, Colombia"	21	FCOS	drive_import_analysis	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_24	HumanObservation	Oncidium sphacelatum	Sw.	species	Plantae	Orchidaceae	Oncidium	sphacelatum			2025-08-23	2025	8	23						Ecuador	EC	Native to Ecuador				meters	Epiphytic in cloud forests and montane regions		"{""light"": ""Bright light (2500-3500 fc)"", ""temperature"": ""Intermediate"", ""humidity"": ""50-70%""}; AI description: Small dancing lady flowers in large sprays, distinctive yellow and brown coloration typical of sphacelatum.; Genus native to: Ecuador, Brazil, Colombia"	24	FCOS	drive_import_analysis	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_25	HumanObservation	Vanda coerulea	R.Br.	species	Plantae	Orchidaceae	Vanda	coerulea			2025-08-23	2025	8	23						Thailand	TH	Native to Thailand				meters	Epiphytic in tropical forests		"{""light"": ""Very bright light (4000+ fc)"", ""temperature"": ""Warm"", ""humidity"": ""70-80%""}; AI description: Strap-leaf growth, large flat flowers, strong root system. coerulea displays characteristic vanda blue tones.; Genus native to: Thailand, Malaysia, Indonesia"	25	FCOS	drive_import_analysis	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_29	HumanObservation	Cattleya warscewiczii	Lindl.	species	Plantae	Orchidaceae	Cattleya	warscewiczii			2025-08-23	2025	8	23						colombia		colombia		colombia		meters	Epiphytic in tropical rainforests		AI description: A stunning Cattleya species from Colombia with large, fragrant flowers in shades of pink and purple.; Genus native to: Brazil, Ecuador, Colombia	29	FCOS		CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_23	HumanObservation	Dendrobium nobile	Sw.	species	Plantae	Orchidaceae	Dendrobium	nobile			2025-08-23	2025	8	23						Australia	AU	Native to Australia				meters	Epiphytic or lithophytic in diverse climates		"{""light"": ""Bright light (2500-3500 fc)"", ""temperature"": ""Cool to warm"", ""humidity"": ""50-70%""}; AI description: Cane-type growth with flowers along nodes, pseudobulbs present. nobile shows typical dendrobium flower structure.; Genus native to: Australia, Thailand, Indonesia"	23	FCOS	drive_import_analysis	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_65	HumanObservation	Lc		species	Plantae	Orchidaceae	Lc				2025-08-23	2025	8	23												meters			AI description: Lc  is a beautiful orchid with unique characteristics.	65	FCOS	google_sheets_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_66	HumanObservation	T		species	Plantae	Orchidaceae	T				2025-08-23	2025	8	23												meters			AI description: T  is a beautiful orchid with unique characteristics.	66	FCOS	google_sheets_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_67	HumanObservation	Slc		species	Plantae	Orchidaceae	Slc				2025-08-23	2025	8	23												meters			AI description: Slc  is a beautiful orchid with unique characteristics.	67	FCOS	google_sheets_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_68	HumanObservation	T		species	Plantae	Orchidaceae	T				2025-08-23	2025	8	23												meters			AI description: T  is a beautiful orchid with unique characteristics.	68	FCOS	google_sheets_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_69	HumanObservation	T		species	Plantae	Orchidaceae	T				2025-08-23	2025	8	23												meters			AI description: T  is a beautiful orchid with unique characteristics.	69	FCOS	google_sheets_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_70	HumanObservation	Aerangis hyaloides	(Rchb.f.) Schltr.	species	Plantae	Orchidaceae	Aerangis	hyaloides			2025-08-23	2025	8	23						Madagascar	MG	Native to Madagascar				meters	Epiphytic or terrestrial orchid		AI description: Aerangis hyaloides is a beautiful orchid with unique characteristics.; Genus native to: Madagascar, Tanzania, Kenya	70	FCOS	google_sheets_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
ORCHID_71	HumanObservation	Pot		species	Plantae	Orchidaceae	Pot				2025-08-23	2025	8	23												meters			AI description: Pot  is a beautiful orchid with unique characteristics.	71	FCOS	google_sheets_import	CC-BY-NC	Five Cities Orchid Society	Five Cities Orchid Society Collection Database	https://atlas.fivecitiescalifornia.org
